url_path,views_total,views_unique
/SeisSol/SeisSol,159,86
/SeisSol/SeisSol/commits/master,34,4
/SeisSol/SeisSol/pulls,28,7
/SeisSol/SeisSol/commit/9d35b989749d031132c8820b45b003ecc00e985a,18,2
/SeisSol/SeisSol/issues,13,5
/SeisSol/SeisSol/blob/master/src/tests/DynamicRupture/Output/Geometry.t.h,12,3
/SeisSol/SeisSol/pull/1364,12,2
/SeisSol/SeisSol/tree/main/src/tests/DynamicRupture/Output/Geometry.t.h,12,2
/SeisSol/SeisSol/releases/tag/v1.3.1,9,5
/SeisSol/SeisSol/blob/master/preprocessing/meshing/gmsh_example/planar-anydip.geo,9,1
