time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,1212,26,105,22
2026-01-28 00:00:00+00:00,1299,28,74,31
2026-01-29 00:00:00+00:00,27,15,20,10
2026-01-30 00:00:00+00:00,13,9,16,14
2026-01-31 00:00:00+00:00,28,8,9,7
2026-02-01 00:00:00+00:00,12,7,11,5
2026-02-02 00:00:00+00:00,1479,38,46,18
2026-02-03 00:00:00+00:00,1438,27,37,22
2026-02-04 00:00:00+00:00,446,19,20,11
2026-02-05 00:00:00+00:00,1575,38,72,20
2026-02-06 00:00:00+00:00,306,39,14,13
2026-02-07 00:00:00+00:00,229,15,9,9
2026-02-08 00:00:00+00:00,22,9,11,11
2026-02-09 00:00:00+00:00,23,14,14,13
