Mon Apr 21 16:19:16, Info:  Using 1 threads 
Mon Apr 21 16:19:16, Info:  Mesh contains 1024 partitions 
Mon Apr 21 16:19:16, Info:  Min number of elements per partition: 165715 
Mon Apr 21 16:19:16, Info:  Avg number of elements per partition 186620 
Mon Apr 21 16:19:16, Info:  Max number of elements per partition 187227 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundaries per partition 12.582 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundaries per partition 23 
Mon Apr 21 16:19:16, Info:  Min number of MPI boundary faces per partition: 5242 
Mon Apr 21 16:19:16, Info:  Avg number of MPI boundary faces per partition 12533.2 
Mon Apr 21 16:19:16, Info:  Max number of MPI boundary faces per partition 18364 
Mon Apr 21 16:19:16, Info:  printing statistics per partition. 
Mon Apr 21 16:19:16, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
0,186968,12,1854,178732,8236,9679,0,0,7939,0
1,186958,12,2086,178080,8878,10844,0,0,6508,0
2,186945,8,2409,179614,7331,8387,0,0,9589,0
3,186851,17,2409,175458,11393,13987,0,0,4019,0
4,186819,17,2950,174493,12326,16000,0,0,0,0
5,186818,15,2950,175577,11241,14546,0,0,0,0
6,186932,16,2218,174837,12095,15654,0,0,0,0
7,186833,16,2218,174922,11911,15030,0,0,0,0
8,186909,12,2678,178408,8501,10265,0,0,7099,0
9,186929,8,1786,179703,7226,8770,0,0,7872,0
10,186867,11,2947,178337,8530,9936,0,0,8700,0
11,186873,13,2947,177512,9361,11282,0,0,5804,0
12,186630,15,2078,174488,12142,15377,0,0,571,0
13,181805,9,2078,174733,7072,8183,0,0,9789,0
14,186885,15,2589,175657,11228,13746,0,0,2970,0
15,186452,10,2589,178979,7473,8618,0,0,9902,0
16,186880,15,2756,174822,12058,15384,0,0,0,0
17,186919,16,2756,175265,11654,15006,0,0,0,0
18,186836,16,2237,175627,11209,14574,0,0,0,0
19,186816,18,3010,175225,11591,15052,0,0,0,0
20,186920,9,2662,179483,7437,8706,0,0,9412,0
21,186972,12,2662,177609,9363,11478,0,0,6108,0
22,181922,8,1270,175135,6787,8044,0,0,8450,0
23,186972,10,1910,180107,6865,8035,0,0,9317,0
24,186857,10,2688,177389,9468,12128,0,0,0,1622
25,186982,10,2688,176806,10176,13197,0,0,0,965
26,186950,19,2237,174922,12028,15916,0,0,0,0
27,187041,12,2916,176914,10127,13032,0,0,0,1582
28,186848,15,2443,175163,11685,15010,0,0,0,0
29,186835,18,2443,175534,11301,14234,0,0,0,0
30,186956,14,2966,176351,10605,13374,0,0,0,1106
31,186921,10,2966,176894,10027,12955,0,0,0,1853
32,186938,11,2836,177451,9487,12084,0,0,0,2262
33,186927,15,2387,175591,11336,14740,0,0,0,0
34,187103,16,2753,174735,12368,15952,0,0,0,0
35,186860,11,2916,176940,9920,12611,0,0,0,1841
36,187088,14,2836,176811,10277,12837,0,0,0,1683
37,186733,11,2661,176263,10470,12924,0,0,0,1522
38,186917,17,2781,174577,12340,16014,0,0,0,0
39,186826,14,2781,175523,11303,14794,0,0,0,0
40,187041,16,2440,176190,10851,13443,0,0,3561,0
41,186990,9,2440,179242,7748,9118,0,0,9452,0
42,187056,11,2326,177753,9303,11304,0,0,5784,0
43,186930,10,2326,178318,8612,10458,0,0,5892,0
44,187057,12,1670,178843,8214,9794,0,0,8272,0
45,186933,14,2006,176310,10623,13870,0,0,0,0
46,186938,9,1633,179487,7451,8694,0,0,8938,0
47,187045,13,1845,178121,8924,10672,0,0,6518,0
48,165715,9,1770,157818,7897,9374,0,0,6940,0
49,186997,10,1857,179704,7293,8735,0,0,8363,0
50,186985,10,2327,178753,8232,9864,0,0,5804,1408
51,187023,7,2327,180416,6607,8286,0,0,7013,1799
52,187103,10,2599,177403,9700,12376,0,0,0,1872
53,187107,4,2051,181722,5385,6304,0,0,8825,2201
54,187143,10,2307,179219,7924,9573,0,0,7409,0
55,187160,12,2307,178564,8596,10443,0,0,6751,0
