Mon Apr 21 16:24:44, Info:  Using 1 threads 
Mon Apr 21 16:24:45, Info:  Mesh contains 12288 partitions 
Mon Apr 21 16:24:45, Info:  Min number of elements per partition: 14537 
Mon Apr 21 16:24:45, Info:  Avg number of elements per partition 15551.6 
Mon Apr 21 16:24:45, Info:  Max number of elements per partition 15715 
Mon Apr 21 16:24:45, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:24:45, Info:  Avg number of MPI boundaries per partition 13.7417 
Mon Apr 21 16:24:45, Info:  Max number of MPI boundaries per partition 34 
Mon Apr 21 16:24:45, Info:  Min number of MPI boundary faces per partition: 907 
Mon Apr 21 16:24:45, Info:  Avg number of MPI boundary faces per partition 2322.12 
Mon Apr 21 16:24:45, Info:  Max number of MPI boundary faces per partition 3252 
Mon Apr 21 16:24:45, Info:  printing statistics per partition. 
Mon Apr 21 16:24:45, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
0,15656,19,543,13549,2107,2549,0,0,629,0
1,15514,11,442,14033,1481,1635,0,0,721,0
2,15529,7,543,14186,1343,1454,0,0,876,0
3,15560,11,315,14053,1507,1713,0,0,891,0
4,15455,15,325,13512,1943,2416,0,0,0,0
5,15591,9,348,14220,1371,1549,0,0,779,0
6,15468,14,398,13572,1896,2204,0,0,552,0
7,15514,9,367,14203,1311,1462,0,0,940,0
8,15589,9,348,14124,1465,1629,0,0,967,0
9,15483,8,305,14198,1285,1381,0,0,1095,0
10,15512,15,536,13377,2135,2708,0,0,0,0
11,15704,16,560,13596,2108,2724,0,0,0,0
12,15538,13,474,14009,1529,1706,0,0,902,0
13,15662,10,386,14341,1321,1485,0,0,959,0
14,15555,8,474,13794,1761,1975,0,0,519,0
15,15606,10,305,14259,1347,1522,0,0,804,0
16,15507,10,282,14134,1373,1543,0,0,815,0
17,15440,15,560,13424,2016,2540,0,0,0,0
18,15522,8,390,14139,1383,1537,0,0,843,0
19,15566,8,335,14241,1325,1468,0,0,984,0
20,15542,11,335,13826,1716,1928,0,0,940,0
21,15537,9,293,14156,1381,1549,0,0,825,0
22,15474,18,354,13459,2015,2500,0,0,0,0
23,15645,15,386,13599,2046,2390,0,0,592,0
24,15562,18,459,13254,2308,2972,0,0,0,0
25,15595,14,459,13680,1915,2466,0,0,0,0
26,15548,19,383,13433,2115,2744,0,0,0,0
27,15565,17,383,13593,1972,2496,0,0,0,0
28,15596,15,457,13628,1968,2606,0,0,0,0
29,15570,14,457,13475,2095,2720,0,0,0,0
30,15597,14,386,13605,1992,2574,0,0,0,0
31,15534,15,379,13531,2003,2544,0,0,0,0
32,15497,14,393,13581,1916,2538,0,0,0,0
33,15707,15,340,13783,1924,2604,0,0,0,0
34,15397,18,492,13103,2294,2836,0,0,0,0
35,15571,16,492,13445,2126,2724,0,0,0,0
36,15593,18,426,13487,2106,2712,0,0,0,0
37,15576,13,487,13567,2009,2528,0,0,0,0
38,15517,20,487,13523,1994,2496,0,0,0,0
39,15600,9,400,14088,1512,1749,0,0,785,0
40,15608,10,455,13964,1644,1905,0,0,789,0
41,15546,8,395,14061,1485,1678,0,0,936,0
42,15559,14,396,13495,2064,2666,0,0,0,0
43,15559,13,438,13625,1934,2520,0,0,0,0
44,15573,13,438,13556,2017,2526,0,0,0,0
45,15559,14,426,13597,1962,2488,0,0,0,0
46,15564,16,638,13575,1989,2594,0,0,0,0
47,15561,16,638,13314,2247,2906,0,0,0,0
48,15679,12,311,14254,1425,1608,0,0,970,0
49,15524,8,436,13927,1597,1768,0,0,798,0
50,15547,8,436,14162,1385,1583,0,0,859,0
51,15565,19,303,13527,2038,2534,0,0,0,0
52,15565,10,358,13874,1691,1901,0,0,883,0
53,15569,16,421,13354,2215,2525,0,0,427,0
54,15584,9,343,14361,1223,1366,0,0,918,0
55,15450,12,386,13586,1864,2155,0,0,601,0
56,15558,7,328,14246,1312,1446,0,0,778,0
57,15621,11,280,14216,1405,1606,0,0,900,0
58,15590,15,326,13468,2122,2553,0,0,197,0
59,15528,8,427,14190,1338,1479,0,0,885,0
60,15486,10,547,13762,1724,2176,0,0,0,288
61,15587,12,417,13552,2035,2614,0,0,0,0
62,15545,14,461,13494,2051,2616,0,0,0,0
63,15534,13,414,13891,1643,2101,0,0,0,579
64,15619,7,259,14575,1044,1167,0,0,940,363
65,15556,14,259,13850,1706,2066,0,0,0,372
66,15489,20,391,13361,2128,2550,0,0,0,106
67,15655,9,447,14309,1346,1526,0,0,876,0
68,15517,7,447,14474,1043,1149,0,0,647,686
69,15638,7,306,14674,964,1083,0,0,854,563
70,15489,9,419,13978,1511,1659,0,0,895,0
71,15622,8,426,14187,1435,1619,0,0,957,0
72,15584,9,480,14138,1446,1646,0,0,960,0
73,15533,7,287,14437,1096,1186,0,0,680,602
74,15506,8,301,14224,1282,1426,0,0,1116,0
75,15560,13,304,13746,1814,2204,0,0,0,336
76,15524,7,421,14464,1060,1154,0,0,821,473
77,15465,12,480,13517,1948,2284,0,0,592,0
78,15597,16,327,13402,2195,2708,0,0,160,0
79,15525,9,318,14206,1319,1456,0,0,1116,0
80,15536,8,352,14163,1373,1481,0,0,1195,0
81,15524,9,385,13859,1665,1818,0,0,1060,0
82,15593,15,283,13666,1927,2448,0,0,0,0
83,15669,17,292,13526,2143,2620,0,0,26,0
84,15675,10,408,14062,1613,2072,0,0,0,418
85,15516,17,412,13506,2010,2542,0,0,0,0
86,15531,10,412,13837,1694,2087,0,0,0,347
87,15565,14,324,13628,1937,2450,0,0,0,0
88,15554,16,377,13532,2022,2550,0,0,0,0
89,15577,14,366,13596,1981,2576,0,0,0,0
90,15563,17,346,13553,2010,2558,0,0,0,0
91,15464,15,480,13443,2021,2547,0,0,0,191
92,15588,11,480,13794,1794,2347,0,0,0,195
93,15495,13,386,13482,2013,2572,0,0,0,0
94,15476,18,376,13450,2026,2570,0,0,0,0
95,15544,14,376,13586,1958,2470,0,0,0,0
96,15590,14,328,14052,1538,1745,0,0,921,0
97,15460,9,379,13954,1506,1664,0,0,980,0
98,15633,11,379,14249,1384,1570,0,0,904,0
99,15490,11,537,13725,1765,1972,0,0,676,0
100,14537,7,376,13198,1339,1581,0,0,945,0
101,15551,8,512,14129,1422,1609,0,0,941,0
102,15488,9,441,14071,1417,1566,0,0,988,0
103,15566,10,463,13816,1750,1972,0,0,686,0
104,15471,8,537,13994,1477,1630,0,0,938,0
105,15554,10,451,14046,1508,1705,0,0,729,0
106,15511,10,391,13949,1562,1725,0,0,807,0
107,15477,10,451,14095,1382,1530,0,0,986,0
108,15520,17,431,13420,2100,2666,0,0,0,0
109,15459,19,431,13276,2183,2796,0,0,0,0
110,15434,15,422,13301,2133,2536,0,0,0,0
111,15706,17,361,13679,2027,2626,0,0,0,0
112,15621,21,426,13537,2084,2650,0,0,0,0
113,15570,14,426,13659,1911,2482,0,0,0,0
114,15546,15,548,13391,2155,2752,0,0,0,0
115,15487,18,469,13391,2096,2588,0,0,0,0
116,15707,20,548,13635,2072,2764,0,0,0,0
117,15614,18,403,13646,1968,2516,0,0,0,0
118,15540,14,340,13643,1897,2402,0,0,0,0
119,15490,22,314,13432,2058,2530,0,0,0,0
120,15530,16,544,13464,2066,2708,0,0,0,0
121,15569,12,410,13608,1961,2518,0,0,0,0
122,15548,17,386,13401,2147,2818,0,0,0,0
123,15482,14,501,13499,1983,2608,0,0,0,0
124,15628,15,344,13703,1925,2514,0,0,0,0
125,15571,13,544,13572,1999,2536,0,0,0,0
126,15589,17,495,13482,2107,2698,0,0,0,0
127,15659,16,531,13677,1982,2564,0,0,0,0
128,15476,16,495,13378,2098,2672,0,0,0,0
129,15522,18,438,13539,1983,2558,0,0,0,0
130,15463,17,491,13461,2002,2574,0,0,0,0
131,15647,14,491,13690,1957,2576,0,0,0,0
132,15560,16,576,13383,2177,2750,0,0,0,0
133,15539,15,369,13599,1940,2502,0,0,0,0
134,15506,14,390,13539,1967,2458,0,0,0,0
135,15567,17,369,13502,2065,2644,0,0,0,0
136,15550,14,576,13544,2006,2580,0,0,0,0
137,15579,15,467,13486,2093,2738,0,0,0,0
138,15494,15,409,13381,2113,2744,0,0,0,0
139,15568,13,580,13568,2000,2548,0,0,0,0
140,15526,15,580,13333,2193,2836,0,0,0,0
141,15555,16,461,13531,2024,2628,0,0,0,0
142,15556,15,397,13489,2067,2662,0,0,0,0
143,15546,16,397,13640,1906,2504,0,0,0,0
144,15609,6,413,14335,1274,1423,0,0,949,0
145,15532,10,368,13927,1605,1800,0,0,712,0
146,15507,9,377,14061,1446,1573,0,0,875,0
147,15532,12,368,13940,1592,1836,0,0,776,0
148,15488,14,574,13577,1911,2174,0,0,614,0
149,15572,6,574,14192,1380,1525,0,0,1085,0
150,15498,18,403,13504,1994,2398,0,0,0,0
151,15549,9,465,14155,1394,1524,0,0,978,0
152,15592,12,465,13912,1680,1933,0,0,633,0
153,15522,7,387,14225,1297,1411,0,0,971,0
154,15646,8,392,14237,1409,1605,0,0,963,0
155,15536,9,392,14100,1436,1617,0,0,919,0
156,15517,18,362,13522,1995,2474,0,0,0,0
157,15510,21,425,13407,2103,2738,0,0,0,0
158,15560,16,425,13474,2086,2666,0,0,0,0
159,15668,15,346,13736,1932,2520,0,0,0,0
160,15439,19,470,13349,2090,2662,0,0,0,0
161,15558,14,482,13556,2002,2636,0,0,0,0
162,15431,18,346,13404,2027,2450,0,0,0,0
163,15512,10,298,14058,1454,1616,0,0,1008,0
164,15521,10,365,13978,1543,1734,0,0,834,0
165,15626,10,377,14038,1588,1764,0,0,732,0
166,15640,14,403,13743,1897,2282,0,0,546,0
167,15499,10,461,13957,1542,1663,0,0,841,0
168,15577,9,380,14280,1297,1414,0,0,946,0
169,15594,15,377,13688,1906,2454,0,0,0,0
170,15608,14,449,13541,2067,2467,0,0,527,0
171,15528,10,358,14008,1520,1658,0,0,800,0
172,15569,8,300,14227,1342,1487,0,0,949,0
173,15484,6,449,14130,1354,1473,0,0,1001,0
174,15595,13,461,13875,1720,1974,0,0,674,0
175,15500,15,351,13415,2085,2436,0,0,602,0
176,15492,7,351,14195,1297,1412,0,0,950,0
