partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
0,9099,11,247,7958,1141,1487,0,0,0,329
1,9098,10,223,7967,1131,1460,0,0,0,268
2,9101,10,303,8018,1083,1384,0,0,0,430
3,9105,13,276,7783,1322,1696,0,0,0,114
4,9115,8,276,7935,1180,1534,0,0,0,196
5,9109,16,326,7718,1391,1822,0,0,0,0
6,9095,17,266,7716,1379,1762,0,0,0,0
7,9074,17,369,7613,1461,1880,0,0,0,0
8,9094,15,334,7686,1408,1830,0,0,0,0
9,9095,15,369,7617,1478,1954,0,0,0,0
10,9136,11,300,7917,1219,1525,0,0,0,175
11,9150,8,253,8310,840,1086,0,0,0,542
12,9109,11,261,7911,1198,1560,0,0,0,378
13,9084,14,333,7613,1471,1890,0,0,0,0
14,9101,14,333,7707,1394,1848,0,0,0,0
15,9136,14,368,7774,1362,1772,0,0,0,0
16,9033,17,368,7615,1418,1776,0,0,0,0
17,9190,18,311,7833,1357,1854,0,0,0,0
18,9082,9,300,7927,1155,1445,0,0,0,237
19,9129,11,282,7991,1138,1412,0,0,0,328
20,9120,17,218,7800,1320,1732,0,0,0,0
21,9100,14,241,7734,1366,1778,0,0,0,0
22,9100,15,309,7699,1401,1850,0,0,0,0
23,9064,17,395,7534,1530,1968,0,0,0,0
24,9110,14,395,7708,1402,1822,0,0,0,0
25,9120,13,328,7785,1335,1700,0,0,0,0
26,9067,14,328,7635,1432,1848,0,0,0,0
27,9094,16,246,7633,1461,1820,0,0,0,0
28,9148,17,323,7619,1529,1964,0,0,0,0
29,9057,15,323,7727,1330,1706,0,0,0,0
30,9088,16,332,7673,1415,1844,0,0,0,0
31,9099,16,283,7726,1373,1758,0,0,0,0
32,9108,13,315,7913,1195,1554,0,0,0,400
33,9097,11,368,7687,1410,1804,0,0,0,30
34,9100,14,368,7825,1275,1579,0,0,0,339
35,9130,13,277,7926,1204,1496,0,0,0,252
36,9101,12,277,7875,1226,1586,0,0,0,190
37,9120,14,320,7762,1358,1724,0,0,0,0
38,9124,14,232,7772,1352,1764,0,0,0,0
39,9087,13,320,7591,1496,1928,0,0,0,0
40,9076,18,303,7666,1410,1808,0,0,0,0
41,9061,8,297,8005,1056,1278,0,0,0,336
42,9066,10,297,7913,1153,1436,0,0,0,326
43,9115,12,278,7726,1389,1760,0,0,0,0
44,9064,16,313,7695,1369,1792,0,0,0,0
45,9080,10,313,7956,1124,1485,0,0,0,333
46,9072,8,288,8114,958,1194,0,0,0,500
47,9129,10,348,7953,1176,1574,0,0,0,194
48,9104,10,292,7889,1215,1514,0,0,0,224
49,9189,11,288,7977,1212,1539,0,0,0,237
50,9103,13,291,7681,1422,1801,0,0,0,107
51,9139,12,394,7756,1383,1742,0,0,0,88
52,9088,9,394,7983,1105,1378,0,0,0,374
53,9117,14,240,7734,1383,1774,0,0,0,0
54,9127,11,367,7752,1375,1768,0,0,0,106
55,9106,16,247,7797,1309,1732,0,0,0,0
56,9133,14,257,7731,1402,1802,0,0,0,0
57,9009,21,351,7558,1451,1896,0,0,0,0
58,9189,10,351,7932,1257,1644,0,0,0,152
59,9081,14,338,7771,1310,1669,0,0,0,129
60,9077,13,338,7915,1162,1477,0,0,0,269
61,9098,14,309,7703,1395,1790,0,0,0,0
62,9138,10,286,7988,1150,1483,0,0,0,213
63,9097,12,245,8012,1085,1438,0,0,0,362
64,9098,11,348,7928,1170,1575,0,0,0,199
65,9139,13,311,7813,1326,1748,0,0,0,0
66,9114,13,397,7748,1366,1762,0,0,0,0
67,9079,18,397,7578,1501,1924,0,0,0,0
68,9084,19,337,7627,1457,1904,0,0,0,0
69,9100,18,383,7660,1440,1902,0,0,0,0
70,9147,15,383,7791,1356,1740,0,0,0,0
71,9161,15,292,7777,1384,1816,0,0,0,0
72,9097,16,292,7746,1351,1734,0,0,0,0
73,9077,18,257,7557,1520,1910,0,0,0,0
74,9045,14,301,7586,1459,1860,0,0,0,0
75,9124,15,301,7720,1404,1832,0,0,0,0
76,9052,15,230,7652,1400,1776,0,0,0,0
77,9124,16,352,7781,1343,1774,0,0,0,0
78,9101,15,352,7726,1375,1838,0,0,0,0
79,9146,16,261,7637,1509,1894,0,0,0,0
80,9091,15,274,7674,1417,1798,0,0,0,0
81,9148,13,261,7771,1377,1798,0,0,0,0
82,9128,19,255,7758,1370,1742,0,0,0,0
83,9020,20,255,7340,1680,1950,0,0,80,0
84,9126,8,267,8150,976,1089,0,0,543,0
85,9132,9,259,8154,978,1103,0,0,607,0
86,9076,7,291,8110,966,1078,0,0,556,0
87,9114,8,267,8117,997,1117,0,0,543,0
88,9050,9,204,8004,1046,1153,0,0,509,0
89,9190,16,349,7767,1423,1888,0,0,0,0
90,9036,8,350,8025,1011,1112,0,0,586,0
91,9079,16,350,7564,1515,1761,0,0,229,0
92,9066,20,344,7528,1538,1960,0,0,0,0
93,9147,19,359,7701,1446,1824,0,0,0,0
94,9102,11,271,8143,959,1077,0,0,519,0
95,9073,21,272,7562,1511,1896,0,0,0,0
96,9039,20,359,7536,1503,1832,0,0,0,0
97,9163,10,291,8049,1114,1269,0,0,457,0
98,9016,8,287,7997,1019,1130,0,0,440,0
99,9038,11,230,7922,1116,1240,0,0,534,0
100,9086,9,248,8147,939,1032,0,0,540,0
101,9157,8,260,8166,991,1115,0,0,565,0
102,9090,14,270,7887,1203,1432,0,0,0,204
103,9103,14,280,7847,1256,1588,0,0,0,212
104,9088,20,198,7679,1409,1746,0,0,0,0
105,9056,10,227,8046,1010,1110,0,0,500,0
106,9086,13,254,7919,1167,1314,0,0,378,0
107,9028,12,305,7903,1125,1260,0,0,406,0
108,9103,8,305,8059,1044,1157,0,0,581,0
109,9060,7,270,8189,871,938,0,0,489,205
110,9068,11,303,7932,1136,1270,0,0,426,0
111,9104,5,303,8312,792,873,0,0,385,408
112,9008,10,246,8001,1007,1106,0,0,440,0
113,9073,9,260,8108,965,1059,0,0,545,0
114,9177,20,236,7740,1437,1776,0,0,0,0
115,9057,8,280,8025,1032,1154,0,0,474,0
116,9054,8,280,8008,1046,1131,0,0,595,0
117,9083,9,225,8028,1055,1175,0,0,515,0
118,9012,7,316,7947,1065,1167,0,0,457,144
119,9110,5,316,8387,723,802,0,0,392,394
120,9092,7,195,8216,876,984,0,0,316,452
121,9067,8,298,8038,1029,1167,0,0,471,0
122,9006,7,253,8095,911,1034,0,0,542,0
123,9045,15,240,7670,1375,1684,0,0,0,0
124,9189,21,266,7816,1373,1820,0,0,0,0
125,9129,7,330,8129,1000,1127,0,0,469,0
126,9048,8,244,7996,1052,1174,0,0,492,0
127,9100,9,238,8045,1055,1194,0,0,480,0
128,9104,11,206,8015,1089,1223,0,0,429,0
129,9051,9,253,8040,1011,1097,0,0,579,0
130,9048,9,274,7974,1074,1180,0,0,450,0
131,9044,11,346,7941,1103,1204,0,0,454,0
132,9147,8,346,8134,1013,1135,0,0,599,0
133,9062,22,234,7590,1472,1822,0,0,0,0
134,9109,21,217,7689,1420,1744,0,0,0,0
135,9048,8,320,8011,1037,1159,0,0,487,0
136,9081,9,244,8129,952,1042,0,0,562,0
137,9114,9,240,8106,1008,1132,0,0,484,0
138,9076,7,334,8063,1013,1106,0,0,490,0
139,9119,10,334,7974,1145,1312,0,0,474,0
140,9106,13,315,7532,1574,1811,0,0,303,0
141,9117,10,250,8078,1039,1164,0,0,472,0
142,9092,8,240,8115,977,1066,0,0,598,0
143,9075,7,401,8054,1021,1133,0,0,474,155
144,9068,6,401,8189,879,960,0,0,406,254
145,9025,14,354,7700,1325,1615,0,0,0,173
146,9089,14,354,7790,1299,1557,0,0,0,239
147,9060,5,235,8341,719,795,0,0,473,282
148,9031,10,263,8026,1005,1103,0,0,547,0
149,9043,9,282,7988,1055,1191,0,0,429,0
