partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank),interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
0,20767,16,633,18208,2559,3360,0,0,0,0
1,20724,13,633,18321,2403,3090,0,0,0,0
2,20686,18,463,18169,2517,3252,0,0,0,0
3,20728,15,593,18013,2715,3508,0,0,0,0
4,20746,15,510,18356,2390,3138,0,0,0,0
5,20761,16,482,18315,2446,3196,0,0,0,0
6,20730,18,638,18085,2645,3304,0,0,0,0
7,20809,16,638,18420,2389,3230,0,0,0,0
8,20688,15,609,17972,2716,3404,0,0,0,0
9,20750,15,516,18246,2504,3214,0,0,0,0
10,20763,19,524,18038,2725,3522,0,0,0,0
11,20813,17,682,18159,2654,3416,0,0,0,0
12,20728,15,682,18242,2486,3218,0,0,0,0
13,20645,16,506,17877,2768,3482,0,0,0,0
14,20712,15,467,18276,2436,3080,0,0,0,0
15,20812,20,431,18435,2377,3030,0,0,0,0
16,20645,17,528,18061,2584,3312,0,0,0,0
17,20644,12,528,18240,2404,3050,0,0,0,0
18,20663,15,471,18091,2572,3236,0,0,0,0
19,20771,12,583,18389,2382,3042,0,0,0,0
20,20754,14,515,18357,2397,3016,0,0,0,0
21,20583,17,515,18006,2577,3292,0,0,0,0
22,20725,19,437,18318,2407,2996,0,0,0,0
23,20688,15,441,18343,2345,3014,0,0,0,0
24,20706,19,434,18195,2511,3100,0,0,0,0
25,20738,11,527,18442,2296,2926,0,0,0,0
26,20733,16,527,18262,2471,3126,0,0,0,0
27,20866,12,483,18417,2449,3128,0,0,0,0
28,20768,15,463,18410,2358,2992,0,0,0,0
29,20803,14,446,18406,2397,3064,0,0,0,0
30,20628,16,483,18120,2508,3130,0,0,0,0
31,20712,18,492,18022,2690,3396,0,0,0,0
32,20783,18,468,18454,2329,3088,0,0,0,0
33,20766,13,395,18426,2340,3062,0,0,0,0
34,20728,17,484,18347,2381,3044,0,0,0,0
35,20763,19,484,18137,2626,3376,0,0,0,0
36,20712,7,611,19129,1583,1707,0,0,1355,0
37,20801,15,611,18446,2355,2758,0,0,738,0
38,20628,10,446,18698,1930,2107,0,0,1019,0
39,20731,9,312,19097,1634,1843,0,0,1253,0
40,20714,10,361,19093,1621,1774,0,0,1188,0
41,20616,9,370,18895,1721,1916,0,0,994,0
42,20636,8,312,19020,1616,1739,0,0,1151,0
43,20852,19,497,18417,2435,3082,0,0,0,0
44,20719,15,497,18184,2535,3117,0,0,621,0
45,20653,9,350,19054,1599,1802,0,0,1220,0
46,20733,8,356,19019,1714,1935,0,0,1161,0
47,20637,8,429,19002,1635,1794,0,0,1174,0
48,20658,13,429,18482,2176,2491,0,0,767,0
49,20587,20,353,18083,2504,3096,0,0,0,0
50,20717,8,347,19061,1656,1848,0,0,1000,0
51,20653,9,365,18811,1842,2015,0,0,1141,0
52,20688,6,539,19112,1576,1676,0,0,1166,0
53,20785,16,539,18113,2672,3180,0,0,242,0
54,20753,9,348,18954,1799,1991,0,0,1227,0
55,20671,8,470,19092,1579,1731,0,0,1197,0
56,20631,12,449,18515,2116,2416,0,0,760,0
57,20774,10,449,19073,1701,1960,0,0,1372,0
58,20793,16,512,18205,2588,3330,0,0,0,0
59,20729,15,512,18368,2361,3086,0,0,0,0
60,20675,17,489,18153,2522,3084,0,0,0,0
61,20785,13,553,18386,2399,3062,0,0,0,0
62,20754,20,553,18179,2575,3280,0,0,0,0
63,20694,13,510,18604,2090,2415,0,0,753,0
64,20777,19,371,18395,2382,2986,0,0,0,0
65,20650,8,510,18923,1727,1844,0,0,1100,0
66,20714,9,454,19054,1660,1855,0,0,1313,0
67,20795,8,511,19203,1592,1777,0,0,1203,0
68,20713,9,511,18920,1793,2020,0,0,1174,0
69,20615,19,433,18045,2570,3260,0,0,0,0
70,20763,12,563,18824,1939,2167,0,0,1063,0
71,20657,12,563,18453,2204,2522,0,0,896,0
72,20697,10,380,19006,1691,1879,0,0,1325,0
73,20655,9,508,18899,1756,2000,0,0,950,0
74,20653,8,362,19066,1587,1748,0,0,1178,0
75,20738,14,508,18261,2477,3028,0,0,424,0
76,20694,14,481,18521,2173,2599,0,0,789,0
77,20598,9,481,19051,1547,1750,0,0,1240,0
78,20787,8,547,19086,1701,1921,0,0,1347,0
79,20663,19,419,18142,2521,3126,0,0,0,0
80,20515,14,547,18088,2427,2832,0,0,592,0
