partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
0,400000,3,4000,388910,11090,11200,0,0,11200,0
1,400000,4,4000,384960,15040,15200,0,0,7200,0
2,400000,4,4000,384960,15040,15200,0,0,7200,0
3,400000,4,4000,384960,15040,15200,0,0,7200,0
4,400000,4,4000,384960,15040,15200,0,0,7200,0
5,400000,4,4000,384960,15040,15200,0,0,7200,0
6,400000,4,4000,384960,15040,15200,0,0,7200,0
7,400000,4,4000,384960,15040,15200,0,0,7200,0
8,400000,4,4000,384960,15040,15200,0,0,7200,0
9,400000,4,4000,384960,15040,15200,0,0,7200,0
10,400000,4,4000,384960,15040,15200,0,0,7200,0
11,400000,4,4000,384960,15040,15200,0,0,7200,0
12,400000,4,4000,384960,15040,15200,0,0,7200,0
13,400000,4,4000,384960,15040,15200,0,0,7200,0
14,400000,4,4000,384960,15040,15200,0,0,7200,0
15,400000,3,4000,388890,11110,11200,0,0,11200,0
16,400000,4,4000,385809,14191,14400,0,0,8000,0
17,400000,5,4000,381918,18082,18400,0,0,4000,0
18,400000,5,4000,381918,18082,18400,0,0,4000,0
19,400000,5,4000,381918,18082,18400,0,0,4000,0
20,400000,5,4000,381918,18082,18400,0,0,4000,0
21,400000,5,4000,381918,18082,18400,0,0,4000,0
22,400000,5,4000,381918,18082,18400,0,0,4000,0
23,400000,5,4000,381918,18082,18400,0,0,4000,0
24,400000,5,4000,381918,18082,18400,0,0,4000,0
25,400000,5,4000,381918,18082,18400,0,0,4000,0
26,400000,5,4000,381918,18082,18400,0,0,4000,0
27,400000,5,4000,381918,18082,18400,0,0,4000,0
28,400000,5,4000,381918,18082,18400,0,0,4000,0
29,400000,5,4000,381918,18082,18400,0,0,4000,0
30,400000,5,4000,381918,18082,18400,0,0,4000,0
31,400000,4,4000,385789,14211,14400,0,0,8000,0
32,400000,4,4000,385809,14191,14400,0,0,8000,0
33,400000,5,4000,381918,18082,18400,0,0,4000,0
34,400000,5,4000,381918,18082,18400,0,0,4000,0
35,400000,5,4000,381918,18082,18400,0,0,4000,0
36,400000,5,4000,381918,18082,18400,0,0,4000,0
37,400000,5,4000,381918,18082,18400,0,0,4000,0
38,400000,5,4000,381918,18082,18400,0,0,4000,0
39,400000,5,4000,381918,18082,18400,0,0,4000,0
40,400000,5,4000,381918,18082,18400,0,0,4000,0
41,400000,5,4000,381918,18082,18400,0,0,4000,0
42,400000,5,4000,381918,18082,18400,0,0,4000,0
43,400000,5,4000,381918,18082,18400,0,0,4000,0
44,400000,5,4000,381918,18082,18400,0,0,4000,0
45,400000,5,4000,381918,18082,18400,0,0,4000,0
46,400000,5,4000,381918,18082,18400,0,0,4000,0
47,400000,4,4000,385789,14211,14400,0,0,8000,0
48,400000,4,4000,385809,14191,14400,0,0,8000,0
49,400000,5,4000,381918,18082,18400,0,0,4000,0
50,400000,5,4000,381918,18082,18400,0,0,4000,0
51,400000,5,4000,381918,18082,18400,0,0,4000,0
52,400000,5,4000,381918,18082,18400,0,0,4000,0
53,400000,5,4000,381918,18082,18400,0,0,4000,0
54,400000,5,4000,381918,18082,18400,0,0,4000,0
55,400000,5,4000,381918,18082,18400,0,0,4000,0
56,400000,5,4000,381918,18082,18400,0,0,4000,0
57,400000,5,4000,381918,18082,18400,0,0,4000,0
58,400000,5,4000,381918,18082,18400,0,0,4000,0
59,400000,5,4000,381918,18082,18400,0,0,4000,0
60,400000,5,4000,381918,18082,18400,0,0,4000,0
61,400000,5,4000,381918,18082,18400,0,0,4000,0
62,400000,5,4000,381918,18082,18400,0,0,4000,0
63,400000,4,4000,385789,14211,14400,0,0,8000,0
64,400000,4,4000,385809,14191,14400,0,0,8000,0
65,400000,5,4000,381918,18082,18400,0,0,4000,0
66,400000,5,4000,381918,18082,18400,0,0,4000,0
67,400000,5,4000,381918,18082,18400,0,0,4000,0
68,400000,5,4000,381918,18082,18400,0,0,4000,0
69,400000,5,4000,381918,18082,18400,0,0,4000,0
70,400000,5,4000,381918,18082,18400,0,0,4000,0
71,400000,5,4000,381918,18082,18400,0,0,4000,0
72,400000,5,4000,381918,18082,18400,0,0,4000,0
73,400000,5,4000,381918,18082,18400,0,0,4000,0
74,400000,5,4000,381918,18082,18400,0,0,4000,0
75,400000,5,4000,381918,18082,18400,0,0,4000,0
76,400000,5,4000,381918,18082,18400,0,0,4000,0
77,400000,5,4000,381918,18082,18400,0,0,4000,0
78,400000,5,4000,381918,18082,18400,0,0,4000,0
79,400000,4,4000,385789,14211,14400,0,0,8000,0
80,400000,4,4000,385809,14191,14400,0,0,8000,0
81,400000,5,4000,381918,18082,18400,0,0,4000,0
82,400000,5,4000,381918,18082,18400,0,0,4000,0
83,400000,5,4000,381918,18082,18400,0,0,4000,0
84,400000,5,4000,381918,18082,18400,0,0,4000,0
85,400000,5,4000,381918,18082,18400,0,0,4000,0
86,400000,5,4000,381918,18082,18400,0,0,4000,0
87,400000,5,4000,381918,18082,18400,0,0,4000,0
88,400000,5,4000,381918,18082,18400,0,0,4000,0
89,400000,5,4000,381918,18082,18400,0,0,4000,0
90,400000,5,4000,381918,18082,18400,0,0,4000,0
91,400000,5,4000,381918,18082,18400,0,0,4000,0
92,400000,5,4000,381918,18082,18400,0,0,4000,0
93,400000,5,4000,381918,18082,18400,0,0,4000,0
94,400000,5,4000,381918,18082,18400,0,0,4000,0
95,400000,4,4000,385789,14211,14400,0,0,8000,0
96,400000,4,4000,385809,14191,14400,0,0,8000,0
97,400000,5,4000,381918,18082,18400,0,0,4000,0
98,400000,5,4000,381918,18082,18400,0,0,4000,0
99,400000,5,4000,381918,18082,18400,0,0,4000,0
100,400000,5,4000,381918,18082,18400,0,0,4000,0
101,400000,5,4000,381918,18082,18400,0,0,4000,0
102,400000,5,4000,381918,18082,18400,0,0,4000,0
103,400000,5,4000,381918,18082,18400,0,0,4000,0
104,400000,5,4000,381918,18082,18400,0,0,4000,0
105,400000,5,4000,381918,18082,18400,0,0,4000,0
