partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces,mpi_copy_elements,mpi_ghost_elements
0,24121,4,835,22712,1409,1568,0,0,571,1215,1426,1431
1,24151,5,835,22046,2105,2415,0,0,1268,127,2140,2220
2,24151,5,678,22274,1877,2085,0,0,770,395,1905,1875
3,24155,12,614,21345,2810,3144,0,0,433,469,2893,2854
4,24167,7,585,22359,1808,2014,0,0,739,541,1845,1833
5,24170,8,536,22150,2020,2259,0,0,911,0,2068,2093
6,24166,4,809,22806,1360,1516,0,0,769,1263,1376,1366
7,24158,5,809,22257,1901,2130,0,0,711,415,1932,1948
8,24175,6,639,22243,1932,2165,0,0,663,810,1961,1959
9,24174,3,639,23038,1136,1255,0,0,879,940,1154,1126
10,24135,5,710,22582,1553,1722,0,0,957,675,1582,1589
11,24140,7,710,21714,2426,2699,0,0,608,231,2472,2471
12,24175,8,727,22219,1956,2187,0,0,378,1215,1995,2007
13,24161,5,727,22398,1763,1947,0,0,1134,333,1799,1758
14,24156,8,532,21973,2183,2444,0,0,856,0,2241,2243
15,24163,4,561,22531,1632,1838,0,0,1011,393,1653,1669
