partition,elements,neighboring_ranks,max_mpi_faces_per_neighboring_rank,interior_elements,mpi_elements,mpi_faces,mpi_dr_faces,dynamic_rupture_faces,free_surface_faces,transparent_faces
0,11959,8,256,10894,1065,1197,0,0,821,0
1,11851,10,299,10521,1330,1448,0,0,660,0
2,11900,8,384,10674,1226,1357,0,0,713,0
3,11892,10,257,10800,1092,1217,0,0,785,0
4,11975,12,257,10688,1287,1456,0,0,608,0
5,11905,7,351,10711,1194,1302,0,0,632,0
6,11904,8,384,10690,1214,1319,0,0,657,0
7,11917,11,301,10682,1235,1376,0,0,748,0
8,11957,8,238,10920,1037,1153,0,0,627,0
9,11926,11,305,10658,1268,1391,0,0,601,0
10,11938,10,305,10659,1279,1462,0,0,740,0
11,11887,8,365,10750,1137,1263,0,0,735,0
12,11989,10,365,10699,1290,1458,0,0,716,0
13,11999,9,387,10792,1207,1367,0,0,653,0
14,11906,7,274,10794,1112,1204,0,0,634,0
15,11946,16,366,10147,1799,2348,0,0,0,0
16,11957,14,306,10188,1769,2258,0,0,0,0
17,11953,14,399,10286,1667,2130,0,0,0,0
18,11949,14,399,10258,1691,2254,0,0,0,0
19,12032,22,367,10121,1911,2342,0,0,0,0
20,11954,15,367,10254,1700,2206,0,0,0,0
21,11875,23,382,9927,1948,2340,0,0,0,0
22,11953,16,382,10210,1743,2196,0,0,0,0
23,11944,14,368,10165,1779,2324,0,0,0,0
24,11950,20,368,10063,1887,2428,0,0,0,0
25,11902,20,452,10081,1821,2274,0,0,0,0
26,11953,19,452,10171,1782,2286,0,0,0,0
27,11957,18,402,10153,1804,2358,0,0,0,0
28,11950,16,402,10002,1948,2492,0,0,0,0
29,12016,16,348,10351,1665,2104,0,0,0,0
30,11925,20,348,10200,1725,2182,0,0,0,0
31,11867,13,493,10331,1536,1710,0,0,538,0
32,11905,11,356,10769,1136,1290,0,0,650,0
33,11994,9,493,10658,1336,1510,0,0,600,0
34,11993,11,494,10616,1377,1563,0,0,573,0
35,11928,13,494,10459,1469,1693,0,0,689,0
36,11918,7,360,10828,1090,1198,0,0,794,0
37,11929,9,360,10668,1261,1418,0,0,734,0
38,11931,10,278,10758,1173,1312,0,0,708,0
39,11855,8,302,10707,1148,1271,0,0,649,0
40,11960,17,350,10302,1658,2164,0,0,0,0
41,11868,19,350,10093,1775,2110,0,0,0,0
42,12027,18,433,10171,1856,2256,0,0,208,0
43,11893,8,406,10609,1284,1411,0,0,775,0
44,11934,9,279,10758,1176,1326,0,0,656,0
45,11978,11,247,10922,1056,1204,0,0,792,0
46,11931,19,433,10117,1814,2316,0,0,0,0
47,11924,12,366,10225,1699,2206,0,0,0,0
48,11950,17,396,10186,1764,2276,0,0,0,0
49,11960,15,325,10375,1585,2072,0,0,0,0
50,11951,18,485,10206,1745,2286,0,0,0,0
51,11950,17,383,10077,1873,2414,0,0,0,0
52,11942,15,485,10225,1717,2184,0,0,0,0
53,11973,17,366,10208,1765,2274,0,0,0,0
54,11819,20,511,9967,1852,2252,0,0,0,0
55,11979,21,511,10174,1805,2246,0,0,0,0
56,11946,17,444,10237,1709,2202,0,0,0,0
57,11956,18,418,10111,1845,2328,0,0,0,0
58,11936,15,403,10195,1741,2252,0,0,0,0
59,11938,17,378,10168,1770,2272,0,0,0,0
60,11949,14,418,10260,1689,2196,0,0,0,0
61,11958,15,313,10282,1676,2136,0,0,0,0
62,11903,10,324,10680,1223,1351,0,0,771,0
63,12004,12,324,10811,1193,1332,0,0,646,0
64,11908,9,232,10742,1166,1288,0,0,780,0
65,11907,12,277,10338,1569,1780,0,0,516,0
66,11965,11,307,10678,1287,1450,0,0,556,0
67,11962,10,408,10579,1383,1582,0,0,626,0
68,11887,8,408,10610,1277,1423,0,0,711,0
69,11951,15,292,10305,1646,2076,0,0,0,0
70,11904,18,292,10248,1656,2052,0,0,0,0
71,11917,18,399,10229,1688,2128,0,0,0,0
72,11950,20,450,10102,1848,2344,0,0,0,0
73,11951,16,287,10240,1711,2226,0,0,0,0
74,11947,16,411,10113,1834,2366,0,0,0,0
75,11957,12,438,10228,1729,2244,0,0,0,0
76,11962,20,438,10188,1774,2340,0,0,0,0
77,11999,10,484,10621,1378,1553,0,0,697,0
78,11890,8,484,10478,1412,1583,0,0,587,0
79,11968,8,265,10869,1099,1227,0,0,691,0
80,11900,18,352,9949,1951,2270,0,0,202,0
81,12020,17,412,10187,1833,2245,0,0,283,0
82,11883,8,412,10678,1205,1326,0,0,790,0
