Mon Apr 21 16:26:21, Info:  Using 1 threads 
Mon Apr 21 16:26:21, Info:  Mesh contains 4096 partitions 
Mon Apr 21 16:26:21, Info:  Min number of elements per partition: 400000 
Mon Apr 21 16:26:21, Info:  Avg number of elements per partition 400000 
Mon Apr 21 16:26:21, Info:  Max number of elements per partition 400000 
Mon Apr 21 16:26:21, Info:  Min number of MPI boundaries per partition: 3 
Mon Apr 21 16:26:21, Info:  Avg number of MPI boundaries per partition 5.625 
Mon Apr 21 16:26:21, Info:  Max number of MPI boundaries per partition 6 
Mon Apr 21 16:26:22, Info:  Min number of MPI boundary faces per partition: 11200 
Mon Apr 21 16:26:22, Info:  Avg number of MPI boundary faces per partition 21000 
Mon Apr 21 16:26:22, Info:  Max number of MPI boundary faces per partition 22400 
Mon Apr 21 16:26:22, Info:  printing statistics per partition. 
Mon Apr 21 16:26:22, Info:  dynamic rupture information is counted twice: as part of mpi_dr_faces and dynamic_rupture_faces. 
partition,#elements,#neighboring_ranks,max(#mpi_faces_per_neighboring_rank),#interior_elements,#mpi_elements,#mpi_faces,#mpi_dr_faces,#dynamic_rupture_faces,#free_surface_faces,#transparent_faces
0,400000,3,4000,388905,11095,11200,0,0,11200,0
1,400000,4,4000,384945,15055,15200,0,0,7200,0
2,400000,4,4000,384945,15055,15200,0,0,7200,0
3,400000,4,4000,384945,15055,15200,0,0,7200,0
4,400000,4,4000,384945,15055,15200,0,0,7200,0
5,400000,4,4000,384945,15055,15200,0,0,7200,0
6,400000,4,4000,384945,15055,15200,0,0,7200,0
7,400000,4,4000,384945,15055,15200,0,0,7200,0
8,400000,4,4000,384945,15055,15200,0,0,7200,0
9,400000,4,4000,384945,15055,15200,0,0,7200,0
10,400000,4,4000,384945,15055,15200,0,0,7200,0
11,400000,4,4000,384945,15055,15200,0,0,7200,0
12,400000,4,4000,384945,15055,15200,0,0,7200,0
13,400000,4,4000,384945,15055,15200,0,0,7200,0
14,400000,4,4000,384945,15055,15200,0,0,7200,0
15,400000,3,4000,388880,11120,11200,0,0,11200,0
16,400000,4,4000,385019,14981,15200,0,0,7200,0
17,400000,5,4000,381133,18867,19200,0,0,3200,0
18,400000,5,4000,381133,18867,19200,0,0,3200,0
19,400000,5,4000,381133,18867,19200,0,0,3200,0
20,400000,5,4000,381133,18867,19200,0,0,3200,0
21,400000,5,4000,381133,18867,19200,0,0,3200,0
22,400000,5,4000,381133,18867,19200,0,0,3200,0
23,400000,5,4000,381133,18867,19200,0,0,3200,0
24,400000,5,4000,381133,18867,19200,0,0,3200,0
25,400000,5,4000,381133,18867,19200,0,0,3200,0
26,400000,5,4000,381133,18867,19200,0,0,3200,0
27,400000,5,4000,381133,18867,19200,0,0,3200,0
28,400000,5,4000,381133,18867,19200,0,0,3200,0
29,400000,5,4000,381133,18867,19200,0,0,3200,0
30,400000,5,4000,381133,18867,19200,0,0,3200,0
31,400000,4,4000,384994,15006,15200,0,0,7200,0
32,400000,4,4000,385019,14981,15200,0,0,7200,0
33,400000,5,4000,381133,18867,19200,0,0,3200,0
34,400000,5,4000,381133,18867,19200,0,0,3200,0
35,400000,5,4000,381133,18867,19200,0,0,3200,0
36,400000,5,4000,381133,18867,19200,0,0,3200,0
37,400000,5,4000,381133,18867,19200,0,0,3200,0
38,400000,5,4000,381133,18867,19200,0,0,3200,0
39,400000,5,4000,381133,18867,19200,0,0,3200,0
40,400000,5,4000,381133,18867,19200,0,0,3200,0
41,400000,5,4000,381133,18867,19200,0,0,3200,0
42,400000,5,4000,381133,18867,19200,0,0,3200,0
43,400000,5,4000,381133,18867,19200,0,0,3200,0
44,400000,5,4000,381133,18867,19200,0,0,3200,0
45,400000,5,4000,381133,18867,19200,0,0,3200,0
46,400000,5,4000,381133,18867,19200,0,0,3200,0
47,400000,4,4000,384994,15006,15200,0,0,7200,0
48,400000,4,4000,385019,14981,15200,0,0,7200,0
49,400000,5,4000,381133,18867,19200,0,0,3200,0
50,400000,5,4000,381133,18867,19200,0,0,3200,0
51,400000,5,4000,381133,18867,19200,0,0,3200,0
52,400000,5,4000,381133,18867,19200,0,0,3200,0
53,400000,5,4000,381133,18867,19200,0,0,3200,0
54,400000,5,4000,381133,18867,19200,0,0,3200,0
55,400000,5,4000,381133,18867,19200,0,0,3200,0
56,400000,5,4000,381133,18867,19200,0,0,3200,0
57,400000,5,4000,381133,18867,19200,0,0,3200,0
58,400000,5,4000,381133,18867,19200,0,0,3200,0
59,400000,5,4000,381133,18867,19200,0,0,3200,0
60,400000,5,4000,381133,18867,19200,0,0,3200,0
61,400000,5,4000,381133,18867,19200,0,0,3200,0
62,400000,5,4000,381133,18867,19200,0,0,3200,0
63,400000,4,4000,384994,15006,15200,0,0,7200,0
64,400000,4,4000,385019,14981,15200,0,0,7200,0
65,400000,5,4000,381133,18867,19200,0,0,3200,0
66,400000,5,4000,381133,18867,19200,0,0,3200,0
67,400000,5,4000,381133,18867,19200,0,0,3200,0
68,400000,5,4000,381133,18867,19200,0,0,3200,0
69,400000,5,4000,381133,18867,19200,0,0,3200,0
70,400000,5,4000,381133,18867,19200,0,0,3200,0
71,400000,5,4000,381133,18867,19200,0,0,3200,0
72,400000,5,4000,381133,18867,19200,0,0,3200,0
73,400000,5,4000,381133,18867,19200,0,0,3200,0
74,400000,5,4000,381133,18867,19200,0,0,3200,0
75,400000,5,4000,381133,18867,19200,0,0,3200,0
76,400000,5,4000,381133,18867,19200,0,0,3200,0
77,400000,5,4000,381133,18867,19200,0,0,3200,0
78,400000,5,4000,381133,18867,19200,0,0,3200,0
79,400000,4,4000,384994,15006,15200,0,0,7200,0
80,400000,4,4000,385019,14981,15200,0,0,7200,0
81,400000,5,4000,381133,18867,19200,0,0,3200,0
82,400000,5,4000,381133,18867,19200,0,0,3200,0
83,400000,5,4000,381133,18867,19200,0,0,3200,0
84,400000,5,4000,381133,18867,19200,0,0,3200,0
85,400000,5,4000,381133,18867,19200,0,0,3200,0
86,400000,5,4000,381133,18867,19200,0,0,3200,0
87,400000,5,4000,381133,18867,19200,0,0,3200,0
88,400000,5,4000,381133,18867,19200,0,0,3200,0
89,400000,5,4000,381133,18867,19200,0,0,3200,0
90,400000,5,4000,381133,18867,19200,0,0,3200,0
91,400000,5,4000,381133,18867,19200,0,0,3200,0
92,400000,5,4000,381133,18867,19200,0,0,3200,0
93,400000,5,4000,381133,18867,19200,0,0,3200,0
94,400000,5,4000,381133,18867,19200,0,0,3200,0
95,400000,4,4000,384994,15006,15200,0,0,7200,0
96,400000,4,4000,385019,14981,15200,0,0,7200,0
97,400000,5,4000,381133,18867,19200,0,0,3200,0
98,400000,5,4000,381133,18867,19200,0,0,3200,0
99,400000,5,4000,381133,18867,19200,0,0,3200,0
100,400000,5,4000,381133,18867,19200,0,0,3200,0
101,400000,5,4000,381133,18867,19200,0,0,3200,0
102,400000,5,4000,381133,18867,19200,0,0,3200,0
103,400000,5,4000,381133,18867,19200,0,0,3200,0
104,400000,5,4000,381133,18867,19200,0,0,3200,0
105,400000,5,4000,381133,18867,19200,0,0,3200,0
106,400000,5,4000,381133,18867,19200,0,0,3200,0
107,400000,5,4000,381133,18867,19200,0,0,3200,0
108,400000,5,4000,381133,18867,19200,0,0,3200,0
109,400000,5,4000,381133,18867,19200,0,0,3200,0
110,400000,5,4000,381133,18867,19200,0,0,3200,0
111,400000,4,4000,384994,15006,15200,0,0,7200,0
112,400000,4,4000,385019,14981,15200,0,0,7200,0
113,400000,5,4000,381133,18867,19200,0,0,3200,0
114,400000,5,4000,381133,18867,19200,0,0,3200,0
115,400000,5,4000,381133,18867,19200,0,0,3200,0
116,400000,5,4000,381133,18867,19200,0,0,3200,0
117,400000,5,4000,381133,18867,19200,0,0,3200,0
118,400000,5,4000,381133,18867,19200,0,0,3200,0
119,400000,5,4000,381133,18867,19200,0,0,3200,0
120,400000,5,4000,381133,18867,19200,0,0,3200,0
121,400000,5,4000,381133,18867,19200,0,0,3200,0
122,400000,5,4000,381133,18867,19200,0,0,3200,0
123,400000,5,4000,381133,18867,19200,0,0,3200,0
124,400000,5,4000,381133,18867,19200,0,0,3200,0
125,400000,5,4000,381133,18867,19200,0,0,3200,0
126,400000,5,4000,381133,18867,19200,0,0,3200,0
127,400000,4,4000,384994,15006,15200,0,0,7200,0
128,400000,4,4000,385019,14981,15200,0,0,7200,0
129,400000,5,4000,381133,18867,19200,0,0,3200,0
130,400000,5,4000,381133,18867,19200,0,0,3200,0
131,400000,5,4000,381133,18867,19200,0,0,3200,0
132,400000,5,4000,381133,18867,19200,0,0,3200,0
133,400000,5,4000,381133,18867,19200,0,0,3200,0
134,400000,5,4000,381133,18867,19200,0,0,3200,0
135,400000,5,4000,381133,18867,19200,0,0,3200,0
136,400000,5,4000,381133,18867,19200,0,0,3200,0
137,400000,5,4000,381133,18867,19200,0,0,3200,0
138,400000,5,4000,381133,18867,19200,0,0,3200,0
139,400000,5,4000,381133,18867,19200,0,0,3200,0
140,400000,5,4000,381133,18867,19200,0,0,3200,0
141,400000,5,4000,381133,18867,19200,0,0,3200,0
142,400000,5,4000,381133,18867,19200,0,0,3200,0
143,400000,4,4000,384994,15006,15200,0,0,7200,0
144,400000,4,4000,385019,14981,15200,0,0,7200,0
145,400000,5,4000,381133,18867,19200,0,0,3200,0
146,400000,5,4000,381133,18867,19200,0,0,3200,0
147,400000,5,4000,381133,18867,19200,0,0,3200,0
148,400000,5,4000,381133,18867,19200,0,0,3200,0
149,400000,5,4000,381133,18867,19200,0,0,3200,0
150,400000,5,4000,381133,18867,19200,0,0,3200,0
151,400000,5,4000,381133,18867,19200,0,0,3200,0
152,400000,5,4000,381133,18867,19200,0,0,3200,0
153,400000,5,4000,381133,18867,19200,0,0,3200,0
154,400000,5,4000,381133,18867,19200,0,0,3200,0
155,400000,5,4000,381133,18867,19200,0,0,3200,0
156,400000,5,4000,381133,18867,19200,0,0,3200,0
157,400000,5,4000,381133,18867,19200,0,0,3200,0
158,400000,5,4000,381133,18867,19200,0,0,3200,0
159,400000,4,4000,384994,15006,15200,0,0,7200,0
160,400000,4,4000,385019,14981,15200,0,0,7200,0
161,400000,5,4000,381133,18867,19200,0,0,3200,0
162,400000,5,4000,381133,18867,19200,0,0,3200,0
163,400000,5,4000,381133,18867,19200,0,0,3200,0
164,400000,5,4000,381133,18867,19200,0,0,3200,0
165,400000,5,4000,381133,18867,19200,0,0,3200,0
166,400000,5,4000,381133,18867,19200,0,0,3200,0
167,400000,5,4000,381133,18867,19200,0,0,3200,0
168,400000,5,4000,381133,18867,19200,0,0,3200,0
169,400000,5,4000,381133,18867,19200,0,0,3200,0
170,400000,5,4000,381133,18867,19200,0,0,3200,0
171,400000,5,4000,381133,18867,19200,0,0,3200,0
172,400000,5,4000,381133,18867,19200,0,0,3200,0
173,400000,5,4000,381133,18867,19200,0,0,3200,0
174,400000,5,4000,381133,18867,19200,0,0,3200,0
175,400000,4,4000,384994,15006,15200,0,0,7200,0
176,400000,4,4000,385019,14981,15200,0,0,7200,0
177,400000,5,4000,381133,18867,19200,0,0,3200,0
178,400000,5,4000,381133,18867,19200,0,0,3200,0
179,400000,5,4000,381133,18867,19200,0,0,3200,0
180,400000,5,4000,381133,18867,19200,0,0,3200,0
181,400000,5,4000,381133,18867,19200,0,0,3200,0
182,400000,5,4000,381133,18867,19200,0,0,3200,0
183,400000,5,4000,381133,18867,19200,0,0,3200,0
184,400000,5,4000,381133,18867,19200,0,0,3200,0
185,400000,5,4000,381133,18867,19200,0,0,3200,0
186,400000,5,4000,381133,18867,19200,0,0,3200,0
187,400000,5,4000,381133,18867,19200,0,0,3200,0
188,400000,5,4000,381133,18867,19200,0,0,3200,0
189,400000,5,4000,381133,18867,19200,0,0,3200,0
190,400000,5,4000,381133,18867,19200,0,0,3200,0
191,400000,4,4000,384994,15006,15200,0,0,7200,0
192,400000,4,4000,385019,14981,15200,0,0,7200,0
193,400000,5,4000,381133,18867,19200,0,0,3200,0
194,400000,5,4000,381133,18867,19200,0,0,3200,0
195,400000,5,4000,381133,18867,19200,0,0,3200,0
196,400000,5,4000,381133,18867,19200,0,0,3200,0
197,400000,5,4000,381133,18867,19200,0,0,3200,0
198,400000,5,4000,381133,18867,19200,0,0,3200,0
199,400000,5,4000,381133,18867,19200,0,0,3200,0
200,400000,5,4000,381133,18867,19200,0,0,3200,0
201,400000,5,4000,381133,18867,19200,0,0,3200,0
202,400000,5,4000,381133,18867,19200,0,0,3200,0
203,400000,5,4000,381133,18867,19200,0,0,3200,0
204,400000,5,4000,381133,18867,19200,0,0,3200,0
205,400000,5,4000,381133,18867,19200,0,0,3200,0
206,400000,5,4000,381133,18867,19200,0,0,3200,0
207,400000,4,4000,384994,15006,15200,0,0,7200,0
208,400000,4,4000,385019,14981,15200,0,0,7200,0
209,400000,5,4000,381133,18867,19200,0,0,3200,0
210,400000,5,4000,381133,18867,19200,0,0,3200,0
211,400000,5,4000,381133,18867,19200,0,0,3200,0
212,400000,5,4000,381133,18867,19200,0,0,3200,0
213,400000,5,4000,381133,18867,19200,0,0,3200,0
214,400000,5,4000,381133,18867,19200,0,0,3200,0
215,400000,5,4000,381133,18867,19200,0,0,3200,0
216,400000,5,4000,381133,18867,19200,0,0,3200,0
217,400000,5,4000,381133,18867,19200,0,0,3200,0
218,400000,5,4000,381133,18867,19200,0,0,3200,0
219,400000,5,4000,381133,18867,19200,0,0,3200,0
220,400000,5,4000,381133,18867,19200,0,0,3200,0
221,400000,5,4000,381133,18867,19200,0,0,3200,0
222,400000,5,4000,381133,18867,19200,0,0,3200,0
223,400000,4,4000,384994,15006,15200,0,0,7200,0
224,400000,4,4000,385019,14981,15200,0,0,7200,0
225,400000,5,4000,381133,18867,19200,0,0,3200,0
226,400000,5,4000,381133,18867,19200,0,0,3200,0
227,400000,5,4000,381133,18867,19200,0,0,3200,0
228,400000,5,4000,381133,18867,19200,0,0,3200,0
229,400000,5,4000,381133,18867,19200,0,0,3200,0
230,400000,5,4000,381133,18867,19200,0,0,3200,0
231,400000,5,4000,381133,18867,19200,0,0,3200,0
232,400000,5,4000,381133,18867,19200,0,0,3200,0
233,400000,5,4000,381133,18867,19200,0,0,3200,0
234,400000,5,4000,381133,18867,19200,0,0,3200,0
235,400000,5,4000,381133,18867,19200,0,0,3200,0
236,400000,5,4000,381133,18867,19200,0,0,3200,0
237,400000,5,4000,381133,18867,19200,0,0,3200,0
238,400000,5,4000,381133,18867,19200,0,0,3200,0
239,400000,4,4000,384994,15006,15200,0,0,7200,0
240,400000,3,4000,388954,11046,11200,0,0,11200,0
241,400000,4,4000,385068,14932,15200,0,0,7200,0
242,400000,4,4000,385068,14932,15200,0,0,7200,0
243,400000,4,4000,385068,14932,15200,0,0,7200,0
244,400000,4,4000,385068,14932,15200,0,0,7200,0
245,400000,4,4000,385068,14932,15200,0,0,7200,0
246,400000,4,4000,385068,14932,15200,0,0,7200,0
247,400000,4,4000,385068,14932,15200,0,0,7200,0
248,400000,4,4000,385068,14932,15200,0,0,7200,0
249,400000,4,4000,385068,14932,15200,0,0,7200,0
250,400000,4,4000,385068,14932,15200,0,0,7200,0
251,400000,4,4000,385068,14932,15200,0,0,7200,0
252,400000,4,4000,385068,14932,15200,0,0,7200,0
253,400000,4,4000,385068,14932,15200,0,0,7200,0
254,400000,4,4000,385068,14932,15200,0,0,7200,0
255,400000,3,4000,388954,11046,11200,0,0,11200,0
256,400000,4,4000,385784,14216,14400,0,0,8000,0
257,400000,5,4000,381824,18176,18400,0,0,4000,0
258,400000,5,4000,381824,18176,18400,0,0,4000,0
259,400000,5,4000,381824,18176,18400,0,0,4000,0
260,400000,5,4000,381824,18176,18400,0,0,4000,0
261,400000,5,4000,381824,18176,18400,0,0,4000,0
262,400000,5,4000,381824,18176,18400,0,0,4000,0
263,400000,5,4000,381824,18176,18400,0,0,4000,0
264,400000,5,4000,381824,18176,18400,0,0,4000,0
265,400000,5,4000,381824,18176,18400,0,0,4000,0
266,400000,5,4000,381824,18176,18400,0,0,4000,0
267,400000,5,4000,381824,18176,18400,0,0,4000,0
268,400000,5,4000,381824,18176,18400,0,0,4000,0
269,400000,5,4000,381824,18176,18400,0,0,4000,0
270,400000,5,4000,381824,18176,18400,0,0,4000,0
271,400000,4,4000,385720,14280,14400,0,0,8000,0
272,400000,5,4000,381917,18083,18400,0,0,4000,0
273,400000,6,4000,378031,21969,22400,0,0,0,0
274,400000,6,4000,378031,21969,22400,0,0,0,0
275,400000,6,4000,378031,21969,22400,0,0,0,0
276,400000,6,4000,378031,21969,22400,0,0,0,0
277,400000,6,4000,378031,21969,22400,0,0,0,0
278,400000,6,4000,378031,21969,22400,0,0,0,0
279,400000,6,4000,378031,21969,22400,0,0,0,0
280,400000,6,4000,378031,21969,22400,0,0,0,0
281,400000,6,4000,378031,21969,22400,0,0,0,0
282,400000,6,4000,378031,21969,22400,0,0,0,0
283,400000,6,4000,378031,21969,22400,0,0,0,0
284,400000,6,4000,378031,21969,22400,0,0,0,0
285,400000,6,4000,378031,21969,22400,0,0,0,0
286,400000,6,4000,378031,21969,22400,0,0,0,0
287,400000,5,4000,381854,18146,18400,0,0,4000,0
288,400000,5,4000,381917,18083,18400,0,0,4000,0
289,400000,6,4000,378031,21969,22400,0,0,0,0
290,400000,6,4000,378031,21969,22400,0,0,0,0
291,400000,6,4000,378031,21969,22400,0,0,0,0
292,400000,6,4000,378031,21969,22400,0,0,0,0
293,400000,6,4000,378031,21969,22400,0,0,0,0
294,400000,6,4000,378031,21969,22400,0,0,0,0
295,400000,6,4000,378031,21969,22400,0,0,0,0
296,400000,6,4000,378031,21969,22400,0,0,0,0
297,400000,6,4000,378031,21969,22400,0,0,0,0
298,400000,6,4000,378031,21969,22400,0,0,0,0
299,400000,6,4000,378031,21969,22400,0,0,0,0
300,400000,6,4000,378031,21969,22400,0,0,0,0
301,400000,6,4000,378031,21969,22400,0,0,0,0
302,400000,6,4000,378031,21969,22400,0,0,0,0
303,400000,5,4000,381854,18146,18400,0,0,4000,0
304,400000,5,4000,381917,18083,18400,0,0,4000,0
305,400000,6,4000,378031,21969,22400,0,0,0,0
306,400000,6,4000,378031,21969,22400,0,0,0,0
307,400000,6,4000,378031,21969,22400,0,0,0,0
308,400000,6,4000,378031,21969,22400,0,0,0,0
309,400000,6,4000,378031,21969,22400,0,0,0,0
310,400000,6,4000,378031,21969,22400,0,0,0,0
311,400000,6,4000,378031,21969,22400,0,0,0,0
312,400000,6,4000,378031,21969,22400,0,0,0,0
313,400000,6,4000,378031,21969,22400,0,0,0,0
314,400000,6,4000,378031,21969,22400,0,0,0,0
315,400000,6,4000,378031,21969,22400,0,0,0,0
316,400000,6,4000,378031,21969,22400,0,0,0,0
317,400000,6,4000,378031,21969,22400,0,0,0,0
318,400000,6,4000,378031,21969,22400,0,0,0,0
319,400000,5,4000,381854,18146,18400,0,0,4000,0
320,400000,5,4000,381917,18083,18400,0,0,4000,0
321,400000,6,4000,378031,21969,22400,0,0,0,0
322,400000,6,4000,378031,21969,22400,0,0,0,0
323,400000,6,4000,378031,21969,22400,0,0,0,0
324,400000,6,4000,378031,21969,22400,0,0,0,0
325,400000,6,4000,378031,21969,22400,0,0,0,0
326,400000,6,4000,378031,21969,22400,0,0,0,0
327,400000,6,4000,378031,21969,22400,0,0,0,0
328,400000,6,4000,378031,21969,22400,0,0,0,0
329,400000,6,4000,378031,21969,22400,0,0,0,0
330,400000,6,4000,378031,21969,22400,0,0,0,0
331,400000,6,4000,378031,21969,22400,0,0,0,0
332,400000,6,4000,378031,21969,22400,0,0,0,0
333,400000,6,4000,378031,21969,22400,0,0,0,0
334,400000,6,4000,378031,21969,22400,0,0,0,0
335,400000,5,4000,381854,18146,18400,0,0,4000,0
336,400000,5,4000,381917,18083,18400,0,0,4000,0
337,400000,6,4000,378031,21969,22400,0,0,0,0
338,400000,6,4000,378031,21969,22400,0,0,0,0
339,400000,6,4000,378031,21969,22400,0,0,0,0
340,400000,6,4000,378031,21969,22400,0,0,0,0
341,400000,6,4000,378031,21969,22400,0,0,0,0
342,400000,6,4000,378031,21969,22400,0,0,0,0
343,400000,6,4000,378031,21969,22400,0,0,0,0
344,400000,6,4000,378031,21969,22400,0,0,0,0
345,400000,6,4000,378031,21969,22400,0,0,0,0
346,400000,6,4000,378031,21969,22400,0,0,0,0
347,400000,6,4000,378031,21969,22400,0,0,0,0
348,400000,6,4000,378031,21969,22400,0,0,0,0
349,400000,6,4000,378031,21969,22400,0,0,0,0
350,400000,6,4000,378031,21969,22400,0,0,0,0
351,400000,5,4000,381854,18146,18400,0,0,4000,0
352,400000,5,4000,381917,18083,18400,0,0,4000,0
353,400000,6,4000,378031,21969,22400,0,0,0,0
354,400000,6,4000,378031,21969,22400,0,0,0,0
355,400000,6,4000,378031,21969,22400,0,0,0,0
356,400000,6,4000,378031,21969,22400,0,0,0,0
357,400000,6,4000,378031,21969,22400,0,0,0,0
358,400000,6,4000,378031,21969,22400,0,0,0,0
359,400000,6,4000,378031,21969,22400,0,0,0,0
360,400000,6,4000,378031,21969,22400,0,0,0,0
361,400000,6,4000,378031,21969,22400,0,0,0,0
362,400000,6,4000,378031,21969,22400,0,0,0,0
363,400000,6,4000,378031,21969,22400,0,0,0,0
364,400000,6,4000,378031,21969,22400,0,0,0,0
365,400000,6,4000,378031,21969,22400,0,0,0,0
366,400000,6,4000,378031,21969,22400,0,0,0,0
367,400000,5,4000,381854,18146,18400,0,0,4000,0
368,400000,5,4000,381917,18083,18400,0,0,4000,0
369,400000,6,4000,378031,21969,22400,0,0,0,0
370,400000,6,4000,378031,21969,22400,0,0,0,0
371,400000,6,4000,378031,21969,22400,0,0,0,0
372,400000,6,4000,378031,21969,22400,0,0,0,0
373,400000,6,4000,378031,21969,22400,0,0,0,0
374,400000,6,4000,378031,21969,22400,0,0,0,0
375,400000,6,4000,378031,21969,22400,0,0,0,0
376,400000,6,4000,378031,21969,22400,0,0,0,0
377,400000,6,4000,378031,21969,22400,0,0,0,0
378,400000,6,4000,378031,21969,22400,0,0,0,0
379,400000,6,4000,378031,21969,22400,0,0,0,0
380,400000,6,4000,378031,21969,22400,0,0,0,0
381,400000,6,4000,378031,21969,22400,0,0,0,0
382,400000,6,4000,378031,21969,22400,0,0,0,0
383,400000,5,4000,381854,18146,18400,0,0,4000,0
384,400000,5,4000,381917,18083,18400,0,0,4000,0
385,400000,6,4000,378031,21969,22400,0,0,0,0
386,400000,6,4000,378031,21969,22400,0,0,0,0
387,400000,6,4000,378031,21969,22400,0,0,0,0
388,400000,6,4000,378031,21969,22400,0,0,0,0
389,400000,6,4000,378031,21969,22400,0,0,0,0
390,400000,6,4000,378031,21969,22400,0,0,0,0
391,400000,6,4000,378031,21969,22400,0,0,0,0
392,400000,6,4000,378031,21969,22400,0,0,0,0
393,400000,6,4000,378031,21969,22400,0,0,0,0
394,400000,6,4000,378031,21969,22400,0,0,0,0
395,400000,6,4000,378031,21969,22400,0,0,0,0
396,400000,6,4000,378031,21969,22400,0,0,0,0
397,400000,6,4000,378031,21969,22400,0,0,0,0
398,400000,6,4000,378031,21969,22400,0,0,0,0
399,400000,5,4000,381854,18146,18400,0,0,4000,0
400,400000,5,4000,381917,18083,18400,0,0,4000,0
401,400000,6,4000,378031,21969,22400,0,0,0,0
402,400000,6,4000,378031,21969,22400,0,0,0,0
403,400000,6,4000,378031,21969,22400,0,0,0,0
404,400000,6,4000,378031,21969,22400,0,0,0,0
405,400000,6,4000,378031,21969,22400,0,0,0,0
406,400000,6,4000,378031,21969,22400,0,0,0,0
407,400000,6,4000,378031,21969,22400,0,0,0,0
